id,release_date,title,production_budget,domestic_gross,worldwide_gross,original_language,popularity,vote_average,vote_count,profit,roi
93,2000-10-20,The Yards,20000000.0,882710.0,2282710.0,en,12,7.9,359,-17717290.0,-0.8858645
93,2005-10-14,The Fog,18000000.0,29511112.0,37048526.0,en,12,7.9,359,19048526.0,1.0582514444444444
93,2001-08-24,Summer Catch,17000000.0,19693891.0,19693891.0,en,12,7.9,359,2693891.0,0.15846417647058825
93,1984-12-05,Beverly Hills Cop,15000000.0,234760478.0,316300000.0,en,12,7.9,359,301300000.0,20.086666666666666
93,2002-10-11,Knockaround Guys,15000000.0,11660180.0,12419700.0,en,12,7.9,359,-2580300.0,-0.17202
93,2002-03-08,All About the Benjamins,14000000.0,25482931.0,25873145.0,en,12,7.9,359,11873145.0,0.8480817857142857
93,2002-02-01,Birthday Girl,13000000.0,4919896.0,8130727.0,en,12,7.9,359,-4869273.0,-0.37455946153846154
93,2001-10-05,Max Keeble's Big Move,12000000.0,17292381.0,17292381.0,en,12,7.9,359,5292381.0,0.44103175
93,2001-03-30,Tomcats,11000000.0,13558739.0,13558739.0,en,12,7.9,359,2558739.0,0.23261263636363635
93,2009-11-06,The Fourth Kind,10000000.0,26218170.0,49486874.0,en,12,7.9,359,39486874.0,3.9486874
93,2014-03-21,50 to 1,10000000.0,1069454.0,1069454.0,en,12,7.9,359,-8930546.0,-0.8930546
93,2007-11-28,The Savages,9000000.0,6623082.0,10642023.0,en,12,7.9,359,1642023.0,0.182447
93,2006-05-19,See No Evil,8000000.0,15032800.0,18828036.0,en,12,7.9,359,10828036.0,1.3535045
93,2011-05-06,Jumping the Broom,7000000.0,37295394.0,38158601.0,en,12,7.9,359,31158601.0,4.4512287142857145
93,1971-01-01,The Andromeda Strain,6500000.0,12376563.0,12376563.0,en,12,7.9,359,5876563.0,0.9040866153846154
93,2011-03-15,A Shine of Rainbows,6000000.0,0.0,0.0,en,12,7.9,359,-6000000.0,-1.0
93,1988-10-01,Halloween 4: The Return of Michael Myers,5000000.0,17768757.0,17768757.0,en,12,7.9,359,12768757.0,2.5537514
93,2015-01-09,Let's Kill Ward's Wife,5000000.0,0.0,0.0,en,12,7.9,359,-5000000.0,-1.0
93,1985-08-16,The Return of the Living Dead,4000000.0,14237880.0,14237880.0,en,12,7.9,359,10237880.0,2.55947
93,1995-04-26,Friday,3500000.0,27467564.0,27936778.0,en,12,7.9,359,24436778.0,6.981936571428571
93,2009-05-08,Next Day Air,3000000.0,10027047.0,10172519.0,en,12,7.9,359,7172519.0,2.3908396666666665
93,2018-10-26,Indivisible,2700000.0,3511417.0,3588305.0,en,12,7.9,359,888305.0,0.3290018518518519
93,1972-08-11,Everything You Always Wanted to Know,2000000.0,18016290.0,18016290.0,en,12,7.9,359,16016290.0,8.008145
93,2001-12-31,Pendulum,2000000.0,0.0,0.0,en,12,7.9,359,-2000000.0,-1.0
93,2007-09-05,I Want Someone To Eat Cheese With,1500000.0,194568.0,194568.0,en,12,7.9,359,-1305432.0,-0.870288
93,2008-11-21,Special,1000000.0,7202.0,26822.0,en,12,7.9,359,-973178.0,-0.973178
93,2017-08-04,Columbus,700000.0,1017107.0,1110511.0,en,12,7.9,359,410511.0,0.5864442857142858
93,2009-09-25,Paranormal Activity,450000.0,107918810.0,194183034.0,en,12,7.9,359,193733034.0,430.51785333333333
93,2010-10-05,Rust,250000.0,0.0,0.0,en,12,7.9,359,-250000.0,-1.0
93,2014-12-31,"Dude, Where's My Dog",100000.0,0.0,0.0,en,12,7.9,359,-100000.0,-1.0
95,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,en,15,6.7,4267,192541256.0,1.0816924494382023
95,2020-12-31,Moonfall,150000000.0,0.0,0.0,en,15,6.7,4267,-150000000.0,-1.0
95,2002-07-19,Stuart Little 2,120000000.0,64956806.0,166000000.0,en,15,6.7,4267,46000000.0,0.38333333333333336
